network_id,timestamp,pressure,flow_rate,lat,lng,ph,turbidity,conductivity,dissolved_oxygen,temperature,pipe_condition,age_years,material,diameter,last_inspection,efficiency_score,reliability_index,water_loss_percentage,customer_satisfaction,response_time_minutes
network_014,2025-06-11T21:04:15.955978,6.6,23.65,35.389259,-111.92265,8.19,2.7,309.0,10.8,16.4,excellent,42,cast_iron,357.0,2025-07-09T15:04:15.956914,80.9,0.837,6.8,87.9,32.0
network_019,2025-06-11T22:04:15.955978,3.97,19.44,36.677434,-111.321999,7.39,1.21,491.0,11.3,19.2,good,14,steel,575.0,2024-11-07T15:04:15.956930,73.8,0.864,19.2,78.6,21.0
network_004,2025-06-11T23:04:15.955978,6.7,89.64,43.927108,-85.320006,7.22,3.3,480.0,7.5,22.8,excellent,27,steel,292.0,2024-12-27T15:04:15.956947,79.9,0.88,5.0,80.1,16.0
network_020,2025-06-12T00:04:15.955978,3.68,67.26,43.820738,-91.895013,7.33,3.29,598.0,9.5,15.1,poor,22,HDPE,559.0,2024-11-17T15:04:15.956963,92.2,0.833,18.7,73.3,100.0
network_019,2025-06-12T01:04:15.955978,4.66,43.21,46.040697,-71.916804,7.9,4.06,202.0,6.5,19.2,poor,49,concrete,366.0,2024-08-10T15:04:15.956980,70.4,0.943,14.5,83.8,41.0
network_003,2025-06-12T02:04:15.955978,4.35,34.53,42.357416,-85.434016,7.8,2.02,528.0,8.9,15.5,poor,21,concrete,373.0,2024-12-06T15:04:15.956999,94.9,0.899,16.4,86.7,65.0
network_015,2025-06-12T03:04:15.955978,5.39,63.59,29.492712,-80.742701,6.98,3.79,318.0,7.1,24.6,good,7,concrete,458.0,2025-02-13T15:04:15.957016,93.4,0.889,18.5,79.0,73.0
network_011,2025-06-12T04:04:15.955978,4.83,98.48,40.043662,-119.474008,8.34,4.48,799.0,10.3,21.3,fair,23,HDPE,536.0,2025-02-09T15:04:15.957032,94.7,0.887,13.1,77.2,35.0
network_003,2025-06-12T05:04:15.955978,4.14,66.6,37.601696,-95.332302,8.5,1.12,542.0,6.9,16.1,fair,41,concrete,525.0,2024-07-16T15:04:15.957049,73.2,0.939,20.7,81.6,44.0
network_005,2025-06-12T06:04:15.955978,5.0,86.67,37.274617,-74.325207,6.68,1.79,756.0,8.4,21.4,good,33,PVC,155.0,2025-02-19T15:04:15.957066,91.1,0.97,10.8,72.8,66.0
network_020,2025-06-12T07:04:15.955978,3.79,74.2,27.631379,-96.546678,8.06,2.68,442.0,9.8,22.9,fair,27,concrete,498.0,2024-08-26T15:04:15.957082,74.4,0.826,19.8,78.5,101.0
network_006,2025-06-12T08:04:15.955978,4.05,78.92,44.103287,-118.127334,8.2,2.98,326.0,10.0,16.0,excellent,50,HDPE,130.0,2025-01-18T15:04:15.957100,75.9,0.841,23.6,87.9,119.0
network_016,2025-06-12T09:04:15.955978,3.9,47.46,31.622127,-89.420409,8.42,0.3,311.0,11.6,18.7,good,7,cast_iron,286.0,2024-12-22T15:04:15.957116,91.6,0.875,8.8,74.1,113.0
network_019,2025-06-12T10:04:15.955978,4.71,40.69,29.196676,-87.229901,8.25,4.34,760.0,6.8,17.6,poor,11,PVC,388.0,2025-01-31T15:04:15.957133,89.9,0.873,23.6,91.8,28.0
network_011,2025-06-12T11:04:15.955978,4.47,67.27,46.534755,-92.270036,8.13,0.82,470.0,10.6,21.9,good,28,concrete,380.0,2024-07-18T15:04:15.957149,83.6,0.906,12.9,83.2,30.0
network_006,2025-06-12T12:04:15.955978,6.56,36.33,35.351425,-87.768222,8.35,0.24,655.0,6.8,22.0,excellent,28,concrete,361.0,2025-05-31T15:04:15.957167,89.7,0.953,11.5,82.1,41.0
network_004,2025-06-12T13:04:15.955978,5.11,28.01,43.396683,-106.345271,7.55,3.47,416.0,10.3,17.8,excellent,14,steel,480.0,2024-08-10T15:04:15.957183,84.8,0.821,14.1,91.5,77.0
network_015,2025-06-12T14:04:15.955978,6.49,22.09,37.791455,-75.585363,8.37,2.07,518.0,11.2,16.9,excellent,44,HDPE,139.0,2025-03-31T15:04:15.957200,93.3,0.959,21.1,84.0,21.0
network_020,2025-06-12T15:04:15.955978,4.51,35.98,27.120215,-94.951526,8.24,0.73,453.0,8.5,23.1,good,47,HDPE,349.0,2025-01-04T15:04:15.957218,94.2,0.932,15.5,70.7,99.0
network_017,2025-06-12T16:04:15.955978,3.95,92.28,42.971953,-93.139956,6.65,1.9,656.0,7.7,20.8,good,28,PVC,594.0,2025-05-11T15:04:15.957235,76.6,0.878,9.5,70.4,71.0
network_004,2025-06-12T17:04:15.955978,4.08,27.1,27.391987,-117.959569,7.79,0.71,657.0,10.3,24.6,fair,49,steel,475.0,2024-11-26T15:04:15.957251,79.7,0.896,21.2,81.7,43.0
network_020,2025-06-12T18:04:15.955978,4.2,83.4,40.077583,-82.198689,7.5,4.42,231.0,8.0,23.3,poor,36,HDPE,253.0,2024-08-18T15:04:15.957268,87.7,0.828,12.1,79.3,119.0
network_015,2025-06-12T19:04:15.955978,5.65,31.25,49.022011,-80.697481,7.97,0.92,409.0,11.1,24.7,excellent,45,cast_iron,498.0,2025-04-07T15:04:15.957285,72.1,0.969,9.1,80.8,34.0
network_007,2025-06-12T20:04:15.955978,6.83,98.47,33.479704,-90.118855,7.05,0.03,796.0,11.6,15.5,poor,9,concrete,328.0,2025-02-22T15:04:15.957302,85.6,0.915,18.5,89.9,95.0
network_018,2025-06-12T21:04:15.955978,3.98,81.47,34.820633,-101.060962,8.15,0.65,346.0,7.7,15.9,excellent,15,steel,269.0,2024-11-07T15:04:15.957318,90.0,0.884,5.3,71.2,39.0
network_020,2025-06-12T22:04:15.955978,5.9,20.83,27.272841,-74.331035,7.45,1.8,291.0,10.8,20.8,good,43,steel,336.0,2025-04-06T15:04:15.957337,86.3,0.977,17.3,75.9,115.0
network_009,2025-06-12T23:04:15.955978,3.82,61.62,41.078427,-106.971279,7.66,0.97,450.0,10.1,24.8,poor,8,cast_iron,451.0,2025-01-10T15:04:15.957353,87.9,0.958,15.1,93.6,17.0
network_006,2025-06-13T00:04:15.955978,3.78,97.74,41.363828,-107.771936,7.02,4.04,243.0,8.7,24.9,excellent,15,concrete,455.0,2025-06-01T15:04:15.957370,70.3,0.856,24.2,80.4,92.0
network_004,2025-06-13T01:04:15.955978,6.81,26.36,27.551947,-76.754714,8.22,2.11,788.0,9.4,24.6,poor,8,cast_iron,336.0,2024-07-15T15:04:15.957387,81.4,0.924,19.0,78.5,85.0
network_018,2025-06-13T02:04:15.955978,4.68,19.01,26.098912,-100.820918,7.53,1.01,465.0,10.3,17.5,good,37,concrete,429.0,2025-06-26T15:04:15.957403,93.7,0.935,20.6,90.1,93.0
network_003,2025-06-13T03:04:15.955978,4.55,14.67,38.64625,-76.172053,6.54,4.0,734.0,9.1,23.7,poor,25,steel,568.0,2024-12-28T15:04:15.957419,94.8,0.837,16.1,73.1,102.0
network_007,2025-06-13T04:04:15.955978,3.97,23.23,26.458909,-74.675177,6.64,0.96,743.0,7.7,17.0,good,36,cast_iron,300.0,2025-04-18T15:04:15.957435,79.4,0.988,16.5,74.8,108.0
network_006,2025-06-13T05:04:15.955978,6.86,24.14,41.048981,-107.007608,7.59,2.94,285.0,9.0,21.7,poor,32,concrete,407.0,2024-10-17T15:04:15.957453,72.3,0.911,6.0,93.9,119.0
network_019,2025-06-13T06:04:15.955978,6.95,19.43,30.181259,-104.319729,6.98,3.55,633.0,8.9,20.3,good,44,steel,483.0,2024-07-25T15:04:15.957470,89.4,0.824,20.6,72.4,28.0
network_007,2025-06-13T07:04:15.955978,4.59,65.79,36.046597,-91.442354,7.63,0.06,762.0,11.9,15.7,excellent,10,steel,467.0,2024-10-03T15:04:15.957487,87.9,0.943,7.0,78.7,74.0
network_011,2025-06-13T08:04:15.955978,5.96,56.36,34.716065,-107.688229,8.45,1.6,700.0,6.6,15.9,fair,28,concrete,546.0,2025-04-29T15:04:15.957515,90.2,0.885,11.2,79.2,109.0
network_004,2025-06-13T09:04:15.955978,6.93,34.5,27.527684,-84.290154,6.76,0.86,567.0,10.4,20.1,good,25,concrete,243.0,2024-08-29T15:04:15.957536,82.1,0.964,18.2,77.6,82.0
network_002,2025-06-13T10:04:15.955978,3.19,26.21,48.168114,-117.884751,7.15,1.47,480.0,8.5,17.4,poor,50,PVC,118.0,2025-03-04T15:04:15.957553,73.9,0.949,10.1,83.7,64.0
network_020,2025-06-13T11:04:15.955978,5.16,87.88,34.161758,-76.229347,8.34,4.81,321.0,7.2,15.6,good,24,HDPE,548.0,2025-06-18T15:04:15.957571,85.7,0.894,14.6,79.4,98.0
network_010,2025-06-13T12:04:15.955978,6.71,39.83,42.418855,-79.38475,6.96,3.7,246.0,10.5,19.2,excellent,38,steel,204.0,2025-03-30T15:04:15.957587,86.5,0.919,20.1,85.9,25.0
network_006,2025-06-13T13:04:15.955978,5.18,11.35,31.288577,-78.712896,7.91,4.19,253.0,11.6,24.7,fair,22,steel,413.0,2024-07-31T15:04:15.957603,74.5,0.916,6.5,92.9,23.0
network_018,2025-06-13T14:04:15.955978,5.25,43.14,25.35523,-105.830794,8.0,2.54,293.0,7.3,17.8,fair,13,HDPE,265.0,2025-06-17T15:04:15.957622,89.0,0.913,5.3,89.2,102.0
network_010,2025-06-13T15:04:15.955978,5.14,93.9,42.64255,-118.863655,8.23,3.98,478.0,7.5,24.6,poor,25,cast_iron,558.0,2024-11-23T15:04:15.957639,89.6,0.967,12.9,73.4,61.0
network_015,2025-06-13T16:04:15.955978,5.74,38.18,49.565107,-97.997941,7.42,2.66,745.0,10.5,19.8,excellent,20,cast_iron,546.0,2025-05-07T15:04:15.957655,84.0,0.842,19.6,80.9,78.0
network_005,2025-06-13T17:04:15.955978,6.18,21.72,41.052388,-105.30106,7.37,0.39,350.0,10.4,17.5,excellent,6,PVC,191.0,2024-08-01T15:04:15.957675,73.3,0.904,19.0,74.1,54.0
network_011,2025-06-13T18:04:15.955978,4.37,45.48,48.88279,-113.20097,7.65,2.52,332.0,9.2,15.9,excellent,10,HDPE,567.0,2025-05-22T15:04:15.957693,74.0,0.958,18.4,89.3,111.0
network_004,2025-06-13T19:04:15.955978,3.38,92.28,43.153286,-109.260158,8.34,1.19,273.0,10.4,22.8,excellent,41,HDPE,322.0,2025-06-18T15:04:15.957709,88.1,0.983,21.3,85.5,110.0
network_017,2025-06-13T20:04:15.955978,6.73,77.18,36.382148,-95.663681,7.82,0.51,457.0,8.8,21.7,poor,7,cast_iron,130.0,2024-09-02T15:04:15.957729,79.1,0.955,22.8,78.4,44.0
network_003,2025-06-13T21:04:15.955978,3.52,43.35,35.83191,-84.639702,6.56,2.98,634.0,8.7,18.3,excellent,23,steel,141.0,2024-07-14T15:04:15.957744,75.1,0.964,10.4,79.3,63.0
network_018,2025-06-13T22:04:15.955978,5.48,70.24,29.031022,-96.831092,7.46,1.88,238.0,11.2,22.8,poor,43,concrete,203.0,2025-05-27T15:04:15.957760,83.5,0.81,11.9,94.7,40.0
network_001,2025-06-13T23:04:15.955978,3.49,86.55,28.826679,-73.173699,7.11,0.11,237.0,6.4,23.1,fair,10,cast_iron,397.0,2025-06-29T15:04:15.957779,72.8,0.875,16.0,79.8,39.0
network_010,2025-06-14T00:04:15.955978,6.42,35.66,36.324878,-85.068284,7.34,4.55,377.0,7.6,19.2,excellent,26,HDPE,361.0,2024-10-11T15:04:15.957796,75.1,0.83,20.1,77.4,106.0
network_004,2025-06-14T01:04:15.955978,6.15,37.68,28.522223,-107.687075,7.08,1.06,373.0,8.5,20.3,excellent,40,PVC,295.0,2025-06-01T15:04:15.957812,92.0,0.838,8.3,81.2,53.0
network_013,2025-06-14T02:04:15.955978,4.68,32.51,44.534361,-119.280547,7.62,1.43,295.0,6.9,20.4,excellent,39,HDPE,365.0,2024-12-28T15:04:15.957830,77.3,0.842,9.6,83.7,115.0
network_020,2025-06-14T03:04:15.955978,4.29,56.4,32.507819,-106.946624,6.63,1.47,591.0,7.3,19.1,fair,35,PVC,568.0,2025-05-24T15:04:15.957848,83.9,0.817,6.7,81.4,21.0
network_011,2025-06-14T04:04:15.955978,3.09,69.55,35.536419,-96.359743,8.45,3.99,734.0,6.5,22.6,good,30,HDPE,312.0,2025-01-09T15:04:15.957866,74.4,0.859,14.1,74.4,38.0
network_006,2025-06-14T05:04:15.955978,3.72,95.48,33.017859,-90.189994,8.09,2.0,280.0,7.3,23.5,excellent,18,cast_iron,374.0,2024-10-09T15:04:15.957882,92.3,0.859,23.3,85.6,20.0
network_017,2025-06-14T06:04:15.955978,4.8,77.35,48.386106,-72.69148,7.57,4.09,471.0,11.1,16.8,excellent,16,steel,409.0,2024-10-29T15:04:15.957899,71.8,0.938,12.6,75.2,84.0
network_004,2025-06-14T07:04:15.955978,4.61,44.34,48.77539,-112.87484,6.85,4.78,286.0,6.1,18.5,poor,49,steel,298.0,2024-08-08T15:04:15.957915,89.8,0.824,13.8,85.2,92.0
network_011,2025-06-14T08:04:15.955978,5.23,20.58,48.08104,-96.441293,7.93,1.05,231.0,7.7,24.7,good,49,PVC,261.0,2025-06-26T15:04:15.957931,82.7,0.833,11.4,84.1,92.0
network_015,2025-06-14T09:04:15.955978,4.93,96.11,25.326978,-72.79872,8.1,2.67,475.0,9.0,21.3,fair,17,HDPE,281.0,2024-09-18T15:04:15.957948,80.2,0.941,16.0,71.3,83.0
network_005,2025-06-14T10:04:15.955978,3.44,91.83,33.881269,-97.193379,6.73,3.28,531.0,6.1,15.2,excellent,46,PVC,502.0,2025-03-28T15:04:15.957965,86.8,0.937,9.0,78.3,88.0
network_019,2025-06-14T11:04:15.955978,4.65,89.06,33.310723,-74.227712,7.56,4.19,718.0,8.3,17.1,poor,27,cast_iron,351.0,2024-11-03T15:04:15.957981,90.2,0.87,14.8,90.4,82.0
network_002,2025-06-14T12:04:15.955978,4.16,32.75,31.00178,-102.882078,6.9,1.38,433.0,8.3,23.1,good,8,concrete,386.0,2024-12-31T15:04:15.958005,73.8,0.86,12.1,87.9,70.0
network_010,2025-06-14T13:04:15.955978,4.73,72.21,45.222101,-86.077486,6.72,2.1,340.0,8.1,17.4,fair,44,cast_iron,380.0,2024-12-04T15:04:15.958022,89.4,0.961,23.1,83.1,77.0
network_019,2025-06-14T14:04:15.955978,4.41,14.71,31.397125,-89.773348,8.03,3.48,263.0,9.0,18.5,fair,42,cast_iron,135.0,2024-09-19T15:04:15.958040,92.6,0.801,20.2,76.5,16.0
network_001,2025-06-14T15:04:15.955978,5.73,88.61,25.39711,-81.87854,6.78,0.59,585.0,11.0,18.0,excellent,29,cast_iron,116.0,2025-03-05T15:04:15.958056,80.6,0.961,12.2,92.7,60.0
network_008,2025-06-14T16:04:15.955978,5.85,99.6,42.300849,-112.666233,7.56,0.05,322.0,9.7,17.2,excellent,41,cast_iron,589.0,2024-11-07T15:04:15.958073,76.5,0.877,19.8,91.3,28.0
network_015,2025-06-14T17:04:15.955978,3.85,78.23,46.409951,-101.472007,6.75,0.36,718.0,9.0,16.8,good,21,concrete,136.0,2025-04-04T15:04:15.958089,89.4,0.837,24.8,94.2,89.0
network_019,2025-06-14T18:04:15.955978,6.19,17.53,38.270465,-104.613078,8.25,1.99,455.0,6.9,16.8,poor,5,PVC,466.0,2024-10-25T15:04:15.958106,78.1,0.878,22.6,93.5,103.0
network_017,2025-06-14T19:04:15.955978,3.25,60.74,26.999767,-87.483037,8.24,4.95,480.0,11.5,18.6,excellent,38,cast_iron,293.0,2024-11-02T15:04:15.958126,71.4,0.856,24.4,71.8,39.0
network_001,2025-06-14T20:04:15.955978,5.84,38.93,48.753889,-112.021013,7.81,2.79,367.0,7.3,15.2,good,28,PVC,307.0,2024-09-24T15:04:15.958144,77.8,0.816,6.3,83.4,21.0
network_001,2025-06-14T21:04:15.955978,4.99,63.11,41.82801,-86.445698,6.99,0.73,604.0,9.6,17.1,fair,43,steel,468.0,2025-06-10T15:04:15.958160,74.8,0.979,21.6,93.4,16.0
network_018,2025-06-14T22:04:15.955978,5.75,63.95,48.243177,-119.346552,6.56,1.9,770.0,9.8,21.5,excellent,46,HDPE,236.0,2024-10-05T15:04:15.958177,83.9,0.844,18.3,90.0,27.0
network_008,2025-06-14T23:04:15.955978,5.32,25.94,42.818487,-111.805562,6.87,1.0,351.0,8.0,17.7,excellent,17,HDPE,180.0,2025-01-11T15:04:15.958193,78.4,0.942,20.6,86.2,103.0
network_009,2025-06-15T00:04:15.955978,6.09,79.7,42.170373,-71.296212,7.28,4.39,269.0,9.5,17.4,fair,34,steel,244.0,2024-07-12T15:04:15.958211,90.6,0.876,18.4,86.0,79.0
network_020,2025-06-15T01:04:15.955978,5.05,41.92,39.393975,-110.8719,7.28,1.51,478.0,9.3,17.5,good,33,HDPE,248.0,2024-12-09T15:04:15.958227,85.5,0.82,14.1,71.6,50.0
network_012,2025-06-15T02:04:15.955978,3.4,28.24,30.902516,-113.973141,8.12,3.31,717.0,7.4,23.2,fair,46,concrete,412.0,2024-12-02T15:04:15.958244,72.4,0.855,19.8,92.9,54.0
network_013,2025-06-15T03:04:15.955978,5.14,66.63,47.184261,-82.439605,8.07,0.39,441.0,7.4,20.1,good,31,cast_iron,289.0,2024-08-31T15:04:15.958261,82.5,0.9,20.3,91.2,21.0
network_009,2025-06-15T04:04:15.955978,3.28,88.71,30.134952,-112.08657,8.2,2.74,451.0,10.7,22.9,poor,16,concrete,201.0,2025-06-14T15:04:15.958278,92.4,0.918,12.3,90.0,68.0
network_013,2025-06-15T05:04:15.955978,6.51,11.69,47.136616,-107.079651,8.03,4.22,728.0,11.9,17.8,poor,19,HDPE,301.0,2025-01-30T15:04:15.958295,88.8,0.84,23.0,76.2,95.0
network_018,2025-06-15T06:04:15.955978,6.3,39.85,38.16239,-117.660014,7.52,2.51,448.0,7.0,18.7,excellent,43,HDPE,550.0,2025-06-07T15:04:15.958312,70.8,0.84,21.6,73.1,84.0
network_010,2025-06-15T07:04:15.955978,5.14,42.67,35.150947,-106.354529,7.46,2.16,293.0,11.9,22.6,poor,31,PVC,562.0,2025-06-26T15:04:15.958330,89.9,0.961,8.3,91.6,47.0
network_014,2025-06-15T08:04:15.955978,5.19,76.3,28.949879,-98.871683,7.01,3.52,469.0,9.7,22.8,excellent,39,concrete,297.0,2025-06-24T15:04:15.958347,78.3,0.821,24.2,90.8,40.0
network_015,2025-06-15T09:04:15.955978,4.13,82.2,28.779432,-82.304344,6.66,1.06,657.0,11.6,15.4,excellent,21,cast_iron,136.0,2024-08-20T15:04:15.958364,80.4,0.811,17.2,75.5,43.0
network_001,2025-06-15T10:04:15.955978,5.74,57.35,48.345259,-102.188133,7.67,4.39,253.0,8.2,15.7,excellent,38,HDPE,293.0,2025-06-18T15:04:15.958382,86.0,0.91,7.5,89.2,71.0
network_020,2025-06-15T11:04:15.955978,5.83,49.38,41.516107,-75.509493,7.66,2.71,483.0,8.2,15.4,fair,41,PVC,413.0,2025-02-03T15:04:15.958400,84.7,0.887,24.2,94.3,45.0
network_007,2025-06-15T12:04:15.955978,3.34,49.16,28.915818,-91.140211,7.65,1.49,244.0,10.5,16.7,good,26,steel,359.0,2025-05-14T15:04:15.958418,88.8,0.961,8.2,76.7,75.0
network_004,2025-06-15T13:04:15.955978,5.41,34.08,30.113005,-106.272452,8.02,2.08,676.0,7.3,24.2,excellent,5,PVC,111.0,2025-07-06T15:04:15.958434,92.1,0.823,11.8,83.6,116.0
network_011,2025-06-15T14:04:15.955978,3.62,41.04,41.183788,-116.903698,8.32,2.5,268.0,8.1,20.3,excellent,28,concrete,560.0,2025-03-08T15:04:15.958451,74.1,0.902,10.6,89.0,95.0
network_014,2025-06-15T15:04:15.955978,4.66,94.17,30.608907,-86.870877,7.14,2.7,267.0,10.1,23.1,good,11,PVC,137.0,2024-09-26T15:04:15.958468,71.4,0.891,5.0,80.4,78.0
network_009,2025-06-15T16:04:15.955978,5.16,88.88,46.515371,-80.775149,7.16,0.44,665.0,9.4,19.1,excellent,20,steel,182.0,2025-01-30T15:04:15.958484,84.9,0.988,20.3,84.5,106.0
network_004,2025-06-15T17:04:15.955978,3.43,73.94,37.271174,-106.569784,7.1,1.46,250.0,11.7,22.1,excellent,20,PVC,457.0,2024-12-31T15:04:15.958501,79.3,0.936,18.2,75.9,95.0
network_003,2025-06-15T18:04:15.955978,6.25,19.81,30.041853,-102.73819,7.07,1.14,490.0,9.2,24.6,fair,31,HDPE,379.0,2024-11-23T15:04:15.958517,80.6,0.855,6.3,73.1,60.0
network_011,2025-06-15T19:04:15.955978,4.56,89.49,45.00491,-80.168908,7.93,1.53,643.0,11.4,18.6,excellent,42,steel,292.0,2025-03-17T15:04:15.958533,84.1,0.955,17.4,80.9,112.0
network_009,2025-06-15T20:04:15.955978,3.22,45.18,30.663036,-117.818891,7.08,1.59,377.0,7.7,19.6,poor,26,PVC,593.0,2024-09-06T15:04:15.958552,71.1,0.908,20.5,89.9,95.0
