device_id,timestamp,consumption,flow_rate,pressure,temperature,ph,turbidity,conductivity,dissolved_oxygen,lat,lng
iot_device_023,2025-06-12T04:04:15.750604,37.61,3.19,5.34,17.2,7.79,2.94,521.0,9.2,27.33931,-92.20572
iot_device_013,2025-06-12T05:04:15.750604,36.36,0.84,5.82,23.8,7.59,4.47,223.0,10.7,25.031271,-89.972138
iot_device_039,2025-06-12T06:04:15.750604,136.25,3.05,6.27,24.1,8.32,4.15,247.0,7.8,40.754323,-118.130225
iot_device_005,2025-06-12T07:04:15.750604,67.79,3.63,7.12,18.7,7.7,0.6,670.0,11.3,38.762664,-92.596055
iot_device_001,2025-06-12T08:04:15.750604,146.92,4.77,6.79,21.2,7.89,3.45,382.0,7.9,37.17102,-78.887876
iot_device_005,2025-06-12T09:04:15.750604,125.74,1.2,4.54,16.5,6.66,3.62,464.0,7.7,36.965342,-110.858286
iot_device_021,2025-06-12T10:04:15.750604,16.62,3.07,6.02,17.6,6.52,3.28,576.0,10.1,41.526577,-105.628555
iot_device_011,2025-06-12T11:04:15.750604,37.27,1.93,5.02,20.5,8.1,3.92,723.0,6.5,28.782361,-83.83574
iot_device_029,2025-06-12T12:04:15.750604,10.54,1.05,4.65,15.0,7.94,2.71,672.0,7.3,47.990438,-102.257594
iot_device_040,2025-06-12T13:04:15.750604,24.31,3.26,6.23,20.3,8.24,2.59,629.0,10.7,37.136913,-102.371157
iot_device_036,2025-06-12T14:04:15.750604,31.95,2.03,3.01,21.4,8.37,3.88,396.0,9.0,38.791458,-77.347719
iot_device_035,2025-06-12T15:04:15.750604,26.94,4.43,4.88,16.6,8.02,4.32,745.0,8.3,27.380983,-81.31931
iot_device_024,2025-06-12T16:04:15.750604,16.0,3.73,5.17,22.7,7.2,0.28,318.0,9.0,38.154675,-83.89356
iot_device_008,2025-06-12T17:04:15.750604,20.26,4.64,2.96,16.6,7.43,4.18,798.0,10.8,45.699311,-70.199618
iot_device_009,2025-06-12T18:04:15.750604,73.43,0.5,7.75,17.1,6.63,1.51,476.0,9.1,39.148196,-107.417806
iot_device_050,2025-06-12T19:04:15.750604,87.57,3.93,5.17,17.6,6.6,3.29,592.0,10.6,29.043818,-85.874325
iot_device_050,2025-06-12T20:04:15.750604,98.6,3.42,5.39,20.5,6.63,2.76,783.0,7.7,33.799145,-83.166433
iot_device_041,2025-06-12T21:04:15.750604,129.62,1.91,4.23,17.0,7.72,2.46,245.0,7.6,29.607082,-114.143819
iot_device_014,2025-06-12T22:04:15.750604,159.89,4.75,3.15,16.2,8.1,1.44,772.0,7.6,34.787376,-82.229209
iot_device_011,2025-06-12T23:04:15.750604,21.16,1.61,4.18,24.2,7.59,4.2,438.0,10.2,43.099383,-115.952125
iot_device_038,2025-06-13T00:04:15.750604,32.68,2.99,7.83,19.4,7.84,4.8,474.0,10.9,36.331906,-100.248587
iot_device_006,2025-06-13T01:04:15.750604,14.21,3.51,4.3,22.6,6.96,2.09,665.0,9.1,43.964818,-118.680594
iot_device_044,2025-06-13T02:04:15.750604,30.6,4.55,5.16,18.4,7.48,3.77,564.0,7.0,34.650254,-116.877216
iot_device_028,2025-06-13T03:04:15.750604,31.32,1.35,5.41,24.2,6.75,3.84,388.0,10.5,40.813277,-98.4317
iot_device_045,2025-06-13T04:04:15.750604,23.46,3.02,6.06,21.7,8.32,4.49,723.0,10.3,34.254494,-109.97373
iot_device_002,2025-06-13T05:04:15.750604,31.86,3.94,6.01,21.0,8.24,4.26,392.0,10.5,26.50033,-88.910473
iot_device_002,2025-06-13T06:04:15.750604,117.67,1.46,5.66,21.3,7.89,3.27,508.0,11.0,26.593653,-89.887523
iot_device_012,2025-06-13T07:04:15.750604,149.2,2.12,3.78,17.6,6.95,3.36,800.0,10.8,47.163938,-101.344399
iot_device_047,2025-06-13T08:04:15.750604,74.61,4.56,5.83,22.5,7.0,3.54,482.0,10.3,31.194436,-73.20778
iot_device_033,2025-06-13T09:04:15.750604,143.44,3.64,2.44,23.8,8.31,4.43,331.0,6.5,48.264929,-109.926863
iot_device_008,2025-06-13T10:04:15.750604,10.48,2.21,6.84,25.0,7.43,3.57,769.0,6.6,30.43376,-86.374759
iot_device_034,2025-06-13T11:04:15.750604,11.94,1.29,4.8,23.3,8.5,4.69,597.0,7.5,49.987233,-97.90948
iot_device_030,2025-06-13T12:04:15.750604,23.37,2.52,3.89,21.0,7.75,2.31,711.0,7.5,42.001405,-82.622843
iot_device_005,2025-06-13T13:04:15.750604,28.51,1.39,2.24,19.3,7.04,1.54,271.0,11.8,25.68702,-114.380257
iot_device_002,2025-06-13T14:04:15.750604,34.93,3.23,2.76,19.9,7.59,0.45,322.0,11.0,41.359087,-108.83893
iot_device_039,2025-06-13T15:04:15.750604,30.31,2.24,3.56,18.7,6.96,3.31,780.0,11.0,36.693665,-97.762684
iot_device_002,2025-06-13T16:04:15.750604,29.05,4.94,2.89,17.8,7.94,2.98,676.0,11.8,45.342409,-114.574574
iot_device_010,2025-06-13T17:04:15.750604,27.97,3.77,4.42,18.5,7.72,2.9,644.0,10.2,25.28064,-111.39576
iot_device_021,2025-06-13T18:04:15.750604,160.37,4.08,6.72,16.8,8.24,0.45,702.0,8.0,38.149633,-90.751783
iot_device_028,2025-06-13T19:04:15.750604,171.12,4.2,5.75,23.0,7.81,2.96,338.0,9.2,47.858448,-116.589276
iot_device_022,2025-06-13T20:04:15.750604,152.76,1.57,2.61,21.6,8.45,3.37,664.0,6.6,44.213005,-90.031905
iot_device_032,2025-06-13T21:04:15.750604,139.11,4.42,4.74,22.8,8.23,0.76,319.0,6.4,49.709024,-103.372625
iot_device_010,2025-06-13T22:04:15.750604,105.73,3.48,5.69,24.1,8.3,2.86,404.0,11.8,27.600584,-80.159309
iot_device_003,2025-06-13T23:04:15.750604,30.07,2.13,7.22,19.5,6.53,0.63,496.0,6.7,40.306276,-99.69164
iot_device_008,2025-06-14T00:04:15.750604,23.26,3.88,2.56,20.7,8.16,0.06,596.0,10.2,33.795733,-90.605275
iot_device_027,2025-06-14T01:04:15.750604,17.86,3.8,2.79,23.7,6.89,2.24,427.0,6.2,49.343976,-91.58463
iot_device_034,2025-06-14T02:04:15.750604,23.68,3.69,3.74,18.3,6.55,0.34,384.0,7.3,47.040403,-115.771582
iot_device_022,2025-06-14T03:04:15.750604,36.34,0.83,5.44,17.5,6.9,0.76,797.0,10.4,41.348728,-98.563017
iot_device_041,2025-06-14T04:04:15.750604,11.17,2.94,7.45,16.3,7.5,4.42,248.0,11.5,41.788788,-105.327447
iot_device_036,2025-06-14T05:04:15.750604,26.1,3.03,4.72,20.9,8.3,2.42,554.0,11.6,42.866831,-110.827179
iot_device_005,2025-06-14T06:04:15.750604,64.08,4.87,2.59,16.2,7.4,0.08,730.0,10.9,27.173068,-74.512103
iot_device_019,2025-06-14T07:04:15.750604,73.98,1.85,3.34,21.2,7.5,4.84,385.0,10.2,29.10651,-107.583426
iot_device_006,2025-06-14T08:04:15.750604,66.06,0.56,3.4,19.1,6.58,4.64,725.0,9.1,31.105375,-87.564962
iot_device_002,2025-06-14T09:04:15.750604,74.67,0.97,7.31,23.8,6.52,4.83,414.0,6.4,41.1772,-70.156679
iot_device_041,2025-06-14T10:04:15.750604,16.56,2.34,3.07,22.4,7.57,2.34,646.0,7.1,25.302432,-92.298172
iot_device_028,2025-06-14T11:04:15.750604,19.36,4.8,3.85,21.1,7.17,4.32,757.0,7.6,46.467018,-104.568362
iot_device_039,2025-06-14T12:04:15.750604,23.77,1.07,6.03,21.3,7.43,0.58,665.0,8.9,29.508148,-101.39364
iot_device_019,2025-06-14T13:04:15.750604,28.32,2.9,2.42,21.5,7.0,3.34,704.0,6.3,25.633097,-82.902295
iot_device_023,2025-06-14T14:04:15.750604,19.58,1.84,2.28,23.4,7.02,4.16,432.0,11.4,33.642777,-77.811696
iot_device_050,2025-06-14T15:04:15.750604,16.63,1.77,4.92,17.0,7.87,4.4,237.0,8.8,48.735648,-90.968121
iot_device_006,2025-06-14T16:04:15.750604,21.68,1.1,4.63,23.1,7.56,0.64,379.0,11.0,32.214367,-93.555238
iot_device_045,2025-06-14T17:04:15.750604,23.6,2.54,6.98,22.4,7.79,4.83,468.0,9.8,46.666947,-83.176332
iot_device_009,2025-06-14T18:04:15.750604,141.07,1.3,4.32,21.7,8.3,2.29,564.0,11.8,27.099288,-119.572556
iot_device_037,2025-06-14T19:04:15.750604,90.46,2.07,6.18,16.7,7.91,1.88,426.0,8.4,47.195301,-76.396998
iot_device_045,2025-06-14T20:04:15.750604,160.51,2.44,4.49,22.8,7.98,0.05,297.0,10.4,46.7101,-118.756286
iot_device_038,2025-06-14T21:04:15.750604,330.71,3.37,3.37,18.0,7.51,1.48,321.0,9.9,29.886397,-104.368706
iot_device_028,2025-06-14T22:04:15.750604,159.42,2.75,6.81,17.2,7.46,0.35,244.0,9.5,31.590782,-116.675949
iot_device_014,2025-06-14T23:04:15.750604,25.96,4.87,4.68,25.0,7.02,1.85,505.0,8.9,47.566018,-75.498195
iot_device_032,2025-06-15T00:04:15.750604,32.15,1.92,4.26,20.0,6.56,1.13,445.0,10.0,39.600792,-104.268288
iot_device_009,2025-06-15T01:04:15.750604,37.44,1.2,3.36,18.1,7.26,0.57,248.0,8.7,31.923602,-100.387329
iot_device_032,2025-06-15T02:04:15.750604,27.74,3.11,6.69,21.8,6.82,1.67,447.0,7.1,26.640957,-73.35055
iot_device_033,2025-06-15T03:04:15.750604,161.29,3.53,4.76,17.7,7.79,3.8,787.0,11.5,39.451268,-110.872676
iot_device_048,2025-06-15T04:04:15.750604,31.15,4.67,7.42,15.3,7.13,4.27,297.0,10.4,49.59813,-76.443772
iot_device_033,2025-06-15T05:04:15.750604,14.0,0.57,6.13,23.8,7.47,3.18,586.0,11.9,48.686503,-108.004763
iot_device_034,2025-06-15T06:04:15.750604,141.71,4.92,4.41,15.6,6.53,1.63,409.0,10.4,34.90388,-93.030796
iot_device_039,2025-06-15T07:04:15.750604,127.08,1.99,4.83,24.0,8.12,1.93,539.0,8.2,37.795451,-115.387036
iot_device_038,2025-06-15T08:04:15.750604,102.93,3.66,4.73,24.6,8.13,2.66,561.0,6.0,32.370273,-83.695248
iot_device_011,2025-06-15T09:04:15.750604,100.83,0.59,7.48,17.9,6.7,1.16,710.0,7.1,29.113628,-119.364496
iot_device_046,2025-06-15T10:04:15.750604,19.45,1.18,7.63,22.5,7.06,0.82,621.0,9.2,40.254752,-79.852426
iot_device_023,2025-06-15T11:04:15.750604,26.76,4.55,4.24,22.5,7.46,1.88,538.0,11.6,45.255845,-90.846056
iot_device_038,2025-06-15T12:04:15.750604,17.28,3.0,7.64,22.5,6.92,3.08,282.0,11.5,46.616504,-77.260006
iot_device_006,2025-06-15T13:04:15.750604,19.22,0.66,4.3,16.1,7.27,1.34,772.0,8.9,25.404091,-70.109667
iot_device_029,2025-06-15T14:04:15.750604,14.67,4.49,4.51,23.6,7.99,0.44,544.0,8.9,40.772865,-76.571132
iot_device_048,2025-06-15T15:04:15.750604,10.49,4.51,5.17,19.5,6.56,1.58,273.0,7.5,26.676067,-112.082877
iot_device_050,2025-06-15T16:04:15.750604,11.39,3.31,6.95,21.5,8.1,3.14,606.0,6.8,31.707217,-91.498899
iot_device_044,2025-06-15T17:04:15.750604,31.29,1.1,4.23,18.9,8.42,0.9,552.0,7.3,33.808166,-90.21642
iot_device_030,2025-06-15T18:04:15.750604,111.76,2.4,2.93,20.8,6.89,3.93,449.0,7.1,27.113978,-104.788954
iot_device_012,2025-06-15T19:04:15.750604,82.14,1.39,5.51,15.9,6.68,0.32,736.0,8.3,26.805152,-89.519862
iot_device_007,2025-06-15T20:04:15.750604,168.83,2.85,7.71,17.7,6.93,0.0,706.0,11.6,26.859614,-85.024171
iot_device_037,2025-06-15T21:04:15.750604,694.68,0.67,3.44,17.6,7.76,2.99,681.0,11.6,35.1706,-117.128607
iot_device_010,2025-06-15T22:04:15.750604,468.99,1.72,5.14,17.9,8.19,0.68,657.0,9.0,44.453344,-113.942718
iot_device_012,2025-06-15T23:04:15.750604,19.28,3.65,2.61,18.9,8.47,2.94,788.0,7.4,25.115187,-77.765152
iot_device_018,2025-06-16T00:04:15.750604,13.06,3.9,4.11,23.3,7.51,0.73,786.0,8.4,32.343718,-97.802292
iot_device_050,2025-06-16T01:04:15.750604,14.49,4.06,4.6,19.0,8.0,1.75,331.0,8.4,45.524399,-88.78982
iot_device_005,2025-06-16T02:04:15.750604,13.26,4.36,2.86,16.1,7.2,3.22,772.0,9.0,43.531978,-103.749379
iot_device_022,2025-06-16T03:04:15.750604,30.39,3.76,5.75,22.0,8.13,2.93,305.0,6.3,33.974886,-106.092563
iot_device_028,2025-06-16T04:04:15.750604,34.06,2.82,4.61,20.1,7.22,0.02,711.0,8.2,47.016549,-84.601183
iot_device_035,2025-06-16T05:04:15.750604,18.56,4.19,3.97,18.8,7.22,4.3,391.0,11.6,42.200649,-103.273072
iot_device_032,2025-06-16T06:04:15.750604,64.73,1.96,6.72,20.0,7.02,4.69,238.0,7.8,25.996136,-100.586879
iot_device_032,2025-06-16T07:04:15.750604,124.69,3.78,2.96,23.9,7.87,0.9,229.0,6.6,28.426647,-109.521697
iot_device_012,2025-06-16T08:04:15.750604,86.24,3.99,4.98,22.0,7.86,2.71,429.0,9.4,42.70913,-84.047386
iot_device_032,2025-06-16T09:04:15.750604,583.55,1.86,5.68,16.6,7.51,3.24,384.0,6.1,41.953208,-104.305754
iot_device_020,2025-06-16T10:04:15.750604,29.49,1.53,4.76,18.3,7.73,1.28,431.0,8.9,34.898899,-80.884166
iot_device_014,2025-06-16T11:04:15.750604,116.03,1.87,7.66,18.6,7.34,4.51,565.0,7.7,37.674697,-105.464143
iot_device_023,2025-06-16T12:04:15.750604,22.25,4.02,3.56,16.2,6.98,1.82,642.0,8.4,35.35817,-77.381316
iot_device_033,2025-06-16T13:04:15.750604,24.78,4.43,7.73,20.8,6.55,4.65,765.0,7.9,43.704087,-86.319708
iot_device_035,2025-06-16T14:04:15.750604,29.05,3.92,4.05,15.2,7.69,2.31,600.0,10.5,49.876049,-100.421253
iot_device_033,2025-06-16T15:04:15.750604,26.1,3.4,4.57,24.9,7.02,4.31,512.0,9.5,28.198387,-100.986294
iot_device_010,2025-06-16T16:04:15.750604,19.87,0.58,2.93,20.1,6.6,2.6,321.0,9.3,37.128582,-108.304527
iot_device_028,2025-06-16T17:04:15.750604,16.15,2.22,6.22,18.5,8.24,0.46,611.0,10.4,42.427868,-72.948978
iot_device_042,2025-06-16T18:04:15.750604,79.28,4.8,4.92,21.5,6.84,4.76,379.0,7.2,40.729584,-116.472717
iot_device_019,2025-06-16T19:04:15.750604,216.48,3.78,5.93,16.7,7.77,4.43,645.0,10.8,41.42359,-105.379839
iot_device_041,2025-06-16T20:04:15.750604,121.8,1.39,6.56,21.1,7.65,4.08,615.0,11.1,28.26589,-99.003379
iot_device_047,2025-06-16T21:04:15.750604,161.18,4.34,2.08,15.3,6.74,2.74,571.0,9.3,47.130233,-71.567204
iot_device_022,2025-06-16T22:04:15.750604,160.64,2.05,6.72,18.9,6.68,1.24,236.0,6.1,47.97879,-95.893211
iot_device_018,2025-06-16T23:04:15.750604,34.88,4.55,5.9,22.6,7.02,2.89,230.0,9.5,27.103311,-111.865725
iot_device_020,2025-06-17T00:04:15.750604,35.41,2.86,4.31,18.9,6.85,4.91,799.0,6.7,48.453254,-72.200701
iot_device_013,2025-06-17T01:04:15.750604,29.12,4.13,2.03,15.5,7.42,3.09,746.0,6.9,39.304602,-73.444499
iot_device_049,2025-06-17T02:04:15.750604,11.2,2.71,3.84,22.8,7.68,3.16,450.0,7.0,48.561289,-77.436217
iot_device_040,2025-06-17T03:04:15.750604,30.75,3.92,3.38,18.0,7.4,0.41,323.0,11.7,33.359083,-77.0068
iot_device_007,2025-06-17T04:04:15.750604,11.03,1.33,5.45,16.8,7.16,0.05,529.0,9.6,37.050186,-115.711843
iot_device_040,2025-06-17T05:04:15.750604,32.19,4.92,2.37,23.0,7.16,0.95,343.0,8.4,39.796816,-94.636266
iot_device_002,2025-06-17T06:04:15.750604,70.82,3.11,7.15,21.6,7.39,0.85,668.0,11.8,33.367837,-89.832433
iot_device_001,2025-06-17T07:04:15.750604,94.05,4.54,3.8,18.9,7.79,1.66,738.0,8.4,36.459237,-76.724868
iot_device_001,2025-06-17T08:04:15.750604,56.44,3.84,5.8,17.2,8.2,0.12,604.0,8.3,43.373272,-107.526486
iot_device_025,2025-06-17T09:04:15.750604,108.92,3.13,6.64,21.2,6.67,4.3,266.0,7.3,44.234805,-112.892471
iot_device_040,2025-06-17T10:04:15.750604,31.56,2.32,4.02,17.4,7.85,4.81,638.0,6.4,28.378758,-90.030237
iot_device_049,2025-06-17T11:04:15.750604,13.3,3.1,5.27,18.6,7.94,0.57,384.0,8.6,32.981044,-100.594478
iot_device_017,2025-06-17T12:04:15.750604,22.23,2.61,7.51,19.9,7.62,0.75,512.0,6.3,27.56873,-76.018327
iot_device_026,2025-06-17T13:04:15.750604,22.85,1.19,5.78,19.6,7.09,0.84,690.0,9.3,42.491354,-78.855881
iot_device_007,2025-06-17T14:04:15.750604,24.16,2.85,2.71,17.0,6.54,0.14,788.0,7.1,46.993395,-115.121017
iot_device_021,2025-06-17T15:04:15.750604,28.37,1.86,2.27,21.3,7.74,1.02,654.0,9.7,49.754199,-90.638369
iot_device_028,2025-06-17T16:04:15.750604,28.45,4.67,5.97,22.0,7.97,2.41,210.0,10.0,49.46328,-104.106756
iot_device_041,2025-06-17T17:04:15.750604,34.26,0.91,7.07,21.4,6.67,3.06,625.0,9.5,48.274616,-85.114814
iot_device_038,2025-06-17T18:04:15.750604,98.59,3.11,3.39,22.1,6.8,3.71,552.0,7.4,27.49324,-114.957129
iot_device_014,2025-06-17T19:04:15.750604,110.38,2.13,6.55,20.6,7.77,4.82,358.0,7.4,27.101768,-113.053835
iot_device_027,2025-06-17T20:04:15.750604,115.33,0.66,6.94,18.8,8.0,1.47,570.0,9.5,26.027955,-79.187009
iot_device_027,2025-06-17T21:04:15.750604,144.67,2.39,6.15,24.3,8.02,3.71,585.0,7.5,42.465065,-116.084681
iot_device_034,2025-06-17T22:04:15.750604,158.28,1.53,5.59,20.8,8.42,1.65,393.0,11.1,30.708457,-88.082499
iot_device_026,2025-06-17T23:04:15.750604,31.0,4.13,4.3,18.5,7.93,3.51,786.0,9.2,41.817659,-75.269784
iot_device_039,2025-06-18T00:04:15.750604,29.78,4.18,7.78,23.2,8.11,1.19,740.0,10.6,40.296882,-76.13801
iot_device_029,2025-06-18T01:04:15.750604,20.5,3.47,5.53,19.1,6.57,4.87,633.0,11.9,27.837058,-118.317519
iot_device_027,2025-06-18T02:04:15.750604,12.0,1.11,6.18,16.9,7.37,4.53,583.0,9.2,28.866745,-112.770575
iot_device_007,2025-06-18T03:04:15.750604,24.64,3.48,3.3,18.1,6.72,4.73,619.0,8.3,37.623522,-74.417348
iot_device_026,2025-06-18T04:04:15.750604,32.47,1.46,4.59,15.4,7.08,1.18,235.0,11.4,46.36954,-113.689487
iot_device_048,2025-06-18T05:04:15.750604,35.11,1.43,5.06,19.1,8.4,2.94,278.0,10.3,36.30132,-94.309354
iot_device_039,2025-06-18T06:04:15.750604,54.7,4.14,4.86,23.1,7.86,1.29,575.0,7.7,27.876477,-90.578758
iot_device_043,2025-06-18T07:04:15.750604,98.04,2.2,4.79,18.1,7.61,0.9,208.0,6.1,39.915349,-116.90401
iot_device_009,2025-06-18T08:04:15.750604,85.63,0.99,5.51,16.7,8.07,4.94,377.0,11.2,31.430021,-94.666121
iot_device_036,2025-06-18T09:04:15.750604,70.87,4.39,6.61,19.0,7.01,4.48,497.0,11.0,31.187439,-118.016509
iot_device_043,2025-06-18T10:04:15.750604,10.47,0.91,6.09,20.9,7.4,2.51,705.0,6.4,35.739805,-73.776891
iot_device_038,2025-06-18T11:04:15.750604,34.82,2.78,2.08,19.7,8.36,1.38,616.0,7.5,30.192041,-83.007888
iot_device_004,2025-06-18T12:04:15.750604,46.93,3.22,5.27,19.9,7.97,2.6,788.0,9.8,41.118745,-103.974365
iot_device_034,2025-06-18T13:04:15.750604,115.94,4.98,4.21,22.5,7.44,2.68,316.0,7.1,39.971672,-77.476874
iot_device_020,2025-06-18T14:04:15.750604,34.03,3.38,6.09,19.4,8.17,4.64,670.0,8.4,33.046553,-103.827456
iot_device_014,2025-06-18T15:04:15.750604,38.19,1.73,5.32,20.3,6.65,4.17,511.0,9.8,42.233855,-85.089102
iot_device_034,2025-06-18T16:04:15.750604,27.99,2.31,3.59,24.5,8.31,0.37,370.0,6.8,39.502437,-107.320882
iot_device_037,2025-06-18T17:04:15.750604,20.37,2.2,3.29,24.7,6.82,0.45,723.0,8.1,27.451647,-91.376481
iot_device_004,2025-06-18T18:04:15.750604,70.63,4.42,5.15,23.3,8.17,3.65,672.0,8.6,26.511692,-74.472237
iot_device_028,2025-06-18T19:04:15.750604,174.23,1.3,6.84,16.5,8.32,3.8,747.0,8.2,25.10317,-109.121809
iot_device_038,2025-06-18T20:04:15.750604,90.47,2.18,6.49,23.6,8.14,3.38,304.0,7.9,33.391417,-111.332756
iot_device_010,2025-06-18T21:04:15.750604,158.34,2.56,6.53,18.7,6.56,3.2,239.0,8.8,26.323897,-70.070355
iot_device_042,2025-06-18T22:04:15.750604,110.7,2.78,7.69,21.7,6.61,4.07,330.0,11.5,26.267842,-118.40553
iot_device_016,2025-06-18T23:04:15.750604,39.41,2.85,7.7,21.7,8.37,4.63,454.0,10.7,25.916935,-104.614898
iot_device_047,2025-06-19T00:04:15.750604,33.56,2.5,3.62,21.9,8.27,0.74,499.0,9.9,32.437739,-115.296062
iot_device_022,2025-06-19T01:04:15.750604,12.07,1.14,7.08,22.0,6.91,0.73,761.0,7.6,36.734697,-88.865704
iot_device_005,2025-06-19T02:04:15.750604,35.31,3.31,5.22,22.5,8.25,4.7,641.0,8.4,48.219554,-79.057929
iot_device_007,2025-06-19T03:04:15.750604,66.92,4.16,5.63,16.3,8.29,0.57,601.0,6.3,31.12267,-115.251353
iot_device_041,2025-06-19T04:04:15.750604,32.67,0.85,7.39,18.8,7.7,4.32,215.0,9.7,40.719073,-101.785163
iot_device_043,2025-06-19T05:04:15.750604,37.31,4.59,7.62,22.4,8.1,1.99,603.0,10.4,36.601617,-111.964656
iot_device_036,2025-06-19T06:04:15.750604,63.02,4.05,6.94,15.6,7.59,2.8,440.0,11.3,27.252796,-108.187753
iot_device_032,2025-06-19T07:04:15.750604,103.17,4.26,7.81,21.7,8.45,0.95,756.0,6.8,35.822984,-117.459363
iot_device_038,2025-06-19T08:04:15.750604,140.03,4.7,6.08,22.7,7.62,2.45,285.0,10.7,28.873124,-76.982733
